,Algorithm,Map,Path_length,Iteration,Setup,Obstacle_type,Algorithm_Type,Q_obstacle
395,RRT,C2A,191.0230816,246.0,0.0,Convex,Probabilistic,1342
397,RRT,C3A,202.0083686,144.0,0.0,Concave,Probabilistic,2952
399,RRT,C5A,201.0612084,258.0,0.0,Concave,Probabilistic,2431
401,RRT_Path_Smoothing,C1A,154.3228689,51.0,0.0,Convex,Probabilistic,1692
403,RRT_Path_Smoothing,C2A,159.89243,229.0,0.0,Convex,Probabilistic,1342
405,RRT_Path_Smoothing,C3A,158.7929793,133.0,0.0,Concave,Probabilistic,2952
407,RRT_Path_Smoothing,C5A,183.456441,634.0,0.0,Concave,Probabilistic,2431
409,RRT_Sobol_Sampler,C1A,180.8444556,107.0,0.0,Convex,Probabilistic,1692
411,RRT_Sobol_Sampler,C2A,159.3584764,99.0,0.0,Convex,Probabilistic,1342
413,RRT_Sobol_Sampler,C3A,190.6736017,237.0,0.0,Concave,Probabilistic,2952
415,RRT_Sobol_Sampler,C5A,226.8952996,428.0,0.0,Concave,Probabilistic,2431
417,RRT_Star,C1A,179.8876403,86.0,0.0,Convex,Probabilistic,1692
419,RRT_Star,C2A,191.8647577,184.0,0.0,Convex,Probabilistic,1342
421,RRT_Star,C3A,183.3200903,179.0,0.0,Concave,Probabilistic,2952
423,Visibility_Road_Map,C1B,151.5541058,11.0,0.0,Convex,Deterministic,1692
425,Visibility_Road_Map,C2B,151.5541058,8.0,0.0,Convex,Deterministic,1342
427,Visibility_Road_Map,C3B,154.8634554,9.0,0.0,Concave,Deterministic,2952
429,Visibility_Road_Map,C4B,182.5830221,11.0,0.0,Concave,Deterministic,2431
431,Visibility_Road_Map,C5B,182.5830221,10.0,0.0,Concave,Deterministic,2431
433,RRT,C4A,229.6136408,18248.0,1.0,Concave,Probabilistic,2431
435,RRT,C4A,234.1840172,18745.0,1.0,Concave,Probabilistic,2431
437,RRT,C4A,228.0196038,17418.0,1.0,Concave,Probabilistic,2431
439,RRT,C4A,221.1675408,14405.0,1.0,Concave,Probabilistic,2431
441,RRT,C4A,227.9206362,14369.0,1.0,Concave,Probabilistic,2431
443,RRT,C4A,243.9618495,19133.0,1.0,Concave,Probabilistic,2431
445,RRT,C4A,222.2710559,16541.0,1.0,Concave,Probabilistic,2431
447,RRT,C4A,217.1162208,17758.0,1.0,Concave,Probabilistic,2431
449,RRT,C4A,220.9530945,17027.0,1.0,Concave,Probabilistic,2431
451,RRT,C4A,223.5998095,13818.0,1.0,Concave,Probabilistic,2431
453,RRT,C4A,228.2402705,2702.0,2.0,Concave,Probabilistic,2431
455,RRT,C4A,214.0344707,3501.0,2.0,Concave,Probabilistic,2431
457,RRT,C4A,215.6735693,2301.0,2.0,Concave,Probabilistic,2431
459,RRT,C4A,218.6324767,2902.0,2.0,Concave,Probabilistic,2431
461,RRT,C4A,228.8094382,3032.0,2.0,Concave,Probabilistic,2431
463,RRT,C4A,212.162995,2055.0,2.0,Concave,Probabilistic,2431
465,RRT,C4A,205.2128185,3188.0,2.0,Concave,Probabilistic,2431
467,RRT,C4A,212.6260551,1923.0,2.0,Concave,Probabilistic,2431
469,RRT,C4A,257.0547567,2417.0,2.0,Concave,Probabilistic,2431
471,RRT,C4A,219.7022602,2730.0,2.0,Concave,Probabilistic,2431
473,RRT,C4A,238.0726875,2357.0,3.0,Concave,Probabilistic,2431
475,RRT,C4A,218.0911679,1761.0,3.0,Concave,Probabilistic,2431
477,RRT,C4A,264.8003252,2014.0,3.0,Concave,Probabilistic,2431
479,RRT,C4A,202.0405711,1837.0,3.0,Concave,Probabilistic,2431
481,RRT,C4A,235.1820563,1825.0,3.0,Concave,Probabilistic,2431
483,RRT,C4A,218.3610836,1811.0,3.0,Concave,Probabilistic,2431
485,RRT,C4A,231.2825572,1533.0,3.0,Concave,Probabilistic,2431
487,RRT,C4A,238.5346414,1278.0,3.0,Concave,Probabilistic,2431
489,RRT,C4A,217.8558576,1767.0,3.0,Concave,Probabilistic,2431
491,RRT,C4A,231.0880777,1753.0,3.0,Concave,Probabilistic,2431
493,RRT,C4A,212.8112236,915.0,4.0,Concave,Probabilistic,2431
495,RRT,C4A,224.9235879,1588.0,4.0,Concave,Probabilistic,2431
497,RRT,C4A,222.6380897,1652.0,4.0,Concave,Probabilistic,2431
499,RRT,C4A,221.9325802,997.0,4.0,Concave,Probabilistic,2431
501,RRT,C4A,195.5810154,861.0,4.0,Concave,Probabilistic,2431
503,RRT,C4A,240.2190796,1187.0,4.0,Concave,Probabilistic,2431
505,RRT,C4A,253.1172921,949.0,4.0,Concave,Probabilistic,2431
507,RRT,C4A,209.59965,2103.0,4.0,Concave,Probabilistic,2431
509,RRT,C4A,274.1515455,2039.0,4.0,Concave,Probabilistic,2431
511,RRT,C4A,194.5936961,667.0,4.0,Concave,Probabilistic,2431
513,RRT,C4A,204.9950263,908.0,5.0,Concave,Probabilistic,2431
515,RRT,C4A,234.1533845,759.0,5.0,Concave,Probabilistic,2431
517,RRT,C4A,220.9077405,956.0,5.0,Concave,Probabilistic,2431
519,RRT,C4A,204.775849,806.0,5.0,Concave,Probabilistic,2431
521,RRT,C4A,236.0125806,1507.0,5.0,Concave,Probabilistic,2431
523,RRT,C4A,211.2585077,900.0,5.0,Concave,Probabilistic,2431
525,RRT,C4A,227.6118306,1056.0,5.0,Concave,Probabilistic,2431
527,RRT,C4A,196.3692089,1305.0,5.0,Concave,Probabilistic,2431
529,RRT,C4A,240.4306542,1416.0,5.0,Concave,Probabilistic,2431
531,RRT,C4A,194.2914189,314.0,5.0,Concave,Probabilistic,2431
534,RRT_Path_Smoothing,C4A,180.5953164,20562.0,1.0,Concave,Probabilistic,2431
536,RRT_Path_Smoothing,C4A,185.9956337,13570.0,1.0,Concave,Probabilistic,2431
538,RRT_Path_Smoothing,C4A,183.036563,16509.0,1.0,Concave,Probabilistic,2431
540,RRT_Path_Smoothing,C4A,181.8985291,19552.0,1.0,Concave,Probabilistic,2431
542,RRT_Path_Smoothing,C4A,184.1066945,15163.0,1.0,Concave,Probabilistic,2431
544,RRT_Path_Smoothing,C4A,182.7043843,18968.0,1.0,Concave,Probabilistic,2431
546,RRT_Path_Smoothing,C4A,182.3164023,20801.0,1.0,Concave,Probabilistic,2431
548,RRT_Path_Smoothing,C4A,181.1415461,16987.0,1.0,Concave,Probabilistic,2431
550,RRT_Path_Smoothing,C4A,181.574517,19724.0,1.0,Concave,Probabilistic,2431
552,RRT_Path_Smoothing,C4A,181.0768776,20361.0,1.0,Concave,Probabilistic,2431
554,RRT_Path_Smoothing,C4A,184.0882275,3103.0,2.0,Concave,Probabilistic,2431
556,RRT_Path_Smoothing,C4A,182.652653,4475.0,2.0,Concave,Probabilistic,2431
558,RRT_Path_Smoothing,C4A,180.3748083,3347.0,2.0,Concave,Probabilistic,2431
560,RRT_Path_Smoothing,C4A,183.3006506,2449.0,2.0,Concave,Probabilistic,2431
562,RRT_Path_Smoothing,C4A,186.9766999,2287.0,2.0,Concave,Probabilistic,2431
564,RRT_Path_Smoothing,C4A,187.2093579,3585.0,2.0,Concave,Probabilistic,2431
566,RRT_Path_Smoothing,C4A,185.4534014,2239.0,2.0,Concave,Probabilistic,2431
568,RRT_Path_Smoothing,C4A,183.3299344,5299.0,2.0,Concave,Probabilistic,2431
570,RRT_Path_Smoothing,C4A,185.0718869,3568.0,2.0,Concave,Probabilistic,2431
572,RRT_Path_Smoothing,C4A,183.9032441,3452.0,2.0,Concave,Probabilistic,2431
574,RRT_Path_Smoothing,C4A,184.5572577,2532.0,3.0,Concave,Probabilistic,2431
576,RRT_Path_Smoothing,C4A,188.9431914,1917.0,3.0,Concave,Probabilistic,2431
578,RRT_Path_Smoothing,C4A,188.2629229,2676.0,3.0,Concave,Probabilistic,2431
580,RRT_Path_Smoothing,C4A,184.764899,1552.0,3.0,Concave,Probabilistic,2431
582,RRT_Path_Smoothing,C4A,183.3871863,340.0,3.0,Concave,Probabilistic,2431
584,RRT_Path_Smoothing,C4A,183.4445088,1693.0,3.0,Concave,Probabilistic,2431
586,RRT_Path_Smoothing,C4A,191.8521664,1932.0,3.0,Concave,Probabilistic,2431
588,RRT_Path_Smoothing,C4A,183.4829072,2068.0,3.0,Concave,Probabilistic,2431
590,RRT_Path_Smoothing,C4A,183.354799,1871.0,3.0,Concave,Probabilistic,2431
592,RRT_Path_Smoothing,C4A,190.7187402,1903.0,3.0,Concave,Probabilistic,2431
594,RRT_Path_Smoothing,C4A,197.893621,2768.0,4.0,Concave,Probabilistic,2431
596,RRT_Path_Smoothing,C4A,195.6869798,920.0,4.0,Concave,Probabilistic,2431
598,RRT_Path_Smoothing,C4A,193.0732536,2196.0,4.0,Concave,Probabilistic,2431
600,RRT_Path_Smoothing,C4A,190.1688609,2563.0,4.0,Concave,Probabilistic,2431
602,RRT_Path_Smoothing,C4A,194.0339106,2219.0,4.0,Concave,Probabilistic,2431
604,RRT_Path_Smoothing,C4A,191.7471916,963.0,4.0,Concave,Probabilistic,2431
606,RRT_Path_Smoothing,C4A,185.696655,1324.0,4.0,Concave,Probabilistic,2431
608,RRT_Path_Smoothing,C4A,197.0911596,1018.0,4.0,Concave,Probabilistic,2431
610,RRT_Path_Smoothing,C4A,194.3793152,1051.0,4.0,Concave,Probabilistic,2431
