Algorithm,Map,start_x,start_y,goal_x,goal_y,x_coord,y_coord,Path_length,Iteration,Setup

RRT,Clear_1,0,0,100,100,"[100, 90.63875354429314, 88.4453843867245, 79.63778868077745, 72.48444050238382, 62.49513883731902, 54.20487908637276, 44.215707293461215, 34.340760718821095, 24.683173647060645, 17.00092108720111, 7.554561516946809, 4.633038076636108, 4.367129559853961, 4.487550735158145, 5.259886256561298, 5.923337849945562, 8.862909658024948, 9.451459938870672, 10.648713643238922, 0.661475966927975, 0]","[100, 100.2737463431445, 93.78735501159244, 89.0517180026379, 96.03953667792356, 95.57709506611164, 96.19097083336693, 95.72573230132004, 94.14920759551843, 91.55478820934259, 85.15299192966206, 81.87178927370435, 73.38055532096831, 63.38409131309531, 53.38481640235612, 43.41468612023944, 39.952078290433185, 30.393892396386896, 20.411226992452093, 10.483156506835222, 9.978098493459399, 0]",197.03077416937353,321,0

RRT,Clear_2,0,0,100,100,"[100, 98.92391614920338, 91.33815215602449, 86.70265079637112, 76.98759031371303, 67.27252983105494, 57.28996563982115, 47.43653870664012, 37.72014554664146, 29.576885942085834, 23.589254907737637, 15.431881133623904, 5.797644353586907, 6.533193954501705, 7.396762344101621, 7.468219529801065, 12.39415707462847, 11.34528030878663, 11.507011805965032, 8.148807525139862, 0]","[100, 99.0756908152202, 92.55984976131238, 96.75589453699017, 94.38574690059822, 92.01559926420627, 92.60586375398815, 90.89999808739462, 88.53531968212876, 90.27028730740639, 82.26102550643432, 76.47680100271728, 73.79697233913035, 63.82406068883526, 53.86141798539143, 43.861673295119914, 35.159079468882766, 25.214238719525493, 15.215546658919758, 5.796286390286797, 0]",185.99716047184398,209,0

RRT,Clear_3,0,0,100,100,"[100, 98.81619592048065, 96.34482310381668, 93.8734502871527, 93.15931660433944, 88.87148506022936, 91.48505576375709, 89.88947351437713, 88.29389126499689, 84.9229675028256, 78.19454923712567, 68.19527567905294, 58.22805791149879, 48.527619049833426, 38.570531698935646, 29.16112694707667, 19.163047483583885, 9.19935645691063, 3.3559508285248296, 0]","[100, 95.35851882230816, 85.66871405641876, 75.97890929052937, 66.00444123037335, 56.970366809087345, 47.317944927628695, 37.44605973353014, 27.574174539431556, 18.159458771569565, 10.76159505007572, 10.641061607305758, 11.450116595642626, 13.879414002526659, 14.804839032764484, 18.190559372026676, 18.38653651784552, 17.53514875366823, 9.420063377521593, 0]",184.7900667658762,114,0

RRT,Clear_4,0,0,100,100,"[100, 94.28153482952432, 87.24911776917928, 80.55585626053322, 71.7729374961467, 77.45623273136196, 79.348431905732, 84.95921028198477, 81.63961102387002, 76.6206500343959, 74.18044920947192, 64.38527682540392, 58.043648247270696, 49.28987194443276, 40.245301348055264, 30.304051215463474, 21.778257834949912, 12.814819669008598, 6.429936918312152, 0]","[100, 94.21884736685514, 87.1093389246795, 79.67965182649864, 74.89840324708071, 66.67039283937102, 56.85221542357525, 48.574584964767816, 39.14165006806031, 30.49237087346044, 20.794669087261834, 22.808272316896005, 15.076277297691483, 19.910674927166383, 15.645028114882962, 14.562648421225006, 19.788626533769218, 15.355030223171367, 7.658714724190111, 0]",188.13042975565935,128,0

RRT,Clear_5,0,0,100,100,"[100, 92.15211240461319, 83.19159046078487, 74.23106851695654, 65.27054657312821, 55.58469958782711, 46.44302793919169, 37.16981151828124, 27.489440683402666, 23.33633313641544, 15.502370801602178, 12.445342286952569, 15.299612828448149, 19.721430856603696, 18.881707783995473, 23.813382406861543, 23.916958403599004, 15.461710002081182, 12.609090327430915, 7.201958818415778, 0]","[100, 96.11176707645564, 91.67227988825795, 87.23279270006026, 82.79330551186257, 80.30646651881676, 76.2530926810694, 79.9957464469096, 77.48767537550202, 73.38739225487106, 67.17216626246116, 57.650896564536474, 48.066892199139424, 44.68015077212021, 34.71546988604421, 26.016125921458176, 16.016662335200188, 10.677301468145949, 9.38393961233677, 6.937707775471899, 0]",179.23109104037565,77,0
