Algorithm,Map,start_x,start_y,goal_x,goal_y,x_coord,y_coord,Path_length,Iteration,Setup

RRT_Path_Smoothing,C4A,0,0,100,100,"[100, 99.67556354785552, 99.28229873739761, 99.28229873739761, 94.8059193941855, 94.80552025935027, 94.04084496172784, 94.04075757428092, 93.99877886410758, 84.89800318405446, 27.010307323147686, 25.26100026248089, 7.027869138466896, 1.1582509043987363, 0.9104710028215413, 0]","[100, 99.2414905734553, 98.32206532426126, 98.32206532426126, 15.538558377992176, 15.538494318037792, 15.415766206224337, 15.415752180798918, 15.409014722622937, 13.948367283476548, 4.657564203620272, 4.376805621245374, 1.4504422847351468, 0.5083860091201252, 0.41357291137251395, 0]",180.84087626113217,21342,1
RRT_Path_Smoothing,C4A,0,0,100,100,"[100, 99.28596368680766, 98.29221332738621, 97.29846296796475, 96.3047126085433, 95.31096224912184, 94.31721188970039, 93.32346153027893, 92.32971117085748, 91.33596081143602, 90.34221045201457, 89.34846009259311, 88.35470973317166, 87.3609593737502, 86.36720901432875, 86.36720890744205, 38.79184263087469, 38.791842630080865, 15.80752498340642, 15.832640039410585, 15.832640039410585, 10.375138849461022, 10.37513884933696, 1.9126386882346056, 1.6633607244600213, 1.0411301901312942, 0.947579381648389, 0]","[100, 99.91979417501734, 99.8081688053666, 99.69654343571572, 99.58491806606499, 99.4732926964141, 99.36166732676337, 99.25004195711249, 99.13841658746175, 99.02679121781087, 98.91516584816013, 98.80354047850925, 98.69191510885837, 98.58028973920749, 98.4686643695566, 98.46866435755031, 96.01995253163926, 96.01995253160185, 94.93600128970058, 94.48516673130773, 94.48516673130773, 68.50660763680645, 68.50660763590156, 7.064380773805919, 5.255995851751857, 0.7420296277674422, 0.31952044609830105, 0]",181.20102531138403,16120,1
RRT_Path_Smoothing,C4A,0,0,100,100,"[100, 99.45225073185482, 98.51666258322679, 97.58107443459876, 96.64548628597073, 95.7098981373427, 94.77430998871468, 93.83872184008665, 92.90313369145862, 92.87446077558049, 91.16135324696472, 91.16128489680892, 18.473096258927132, 18.218134296612824, 16.84858113319282, 16.541675081536333, 15.62242660805098, 12.992025364123515, 12.99202535991526, 1.0756947895246476, 1.0560328688872043, 0.8695351473585848, 0]","[100, 99.79327811219301, 99.44018490049581, 99.08709168879861, 98.73399847710127, 98.38090526540392, 98.02781205370658, 97.67471884200924, 97.3216256303119, 97.31080440307534, 97.56362290941378, 97.56360406866153, 95.08330424804444, 95.00050687440324, 94.63840364708591, 94.43766670446898, 94.01015874238419, 81.2504081262745, 81.25040809758636, 1.4841631461580136, 1.476326456967817, 0.4938710636472682, 0]",180.8441854587312,16179,1
RRT_Path_Smoothing,C4A,0,0,100,100,"[100, 99.41511807840794, 98.50158576359644, 98.50158576359644, 15.207342082317492, 15.207342082317492, 0.07143489208879346, 0.07085927337324416, 0]","[100, 99.73957114590208, 99.33280498482775, 99.33280498482775, 95.16335711009273, 95.16335711009273, 0.9975914817557159, 0.9974863224009721, 0]",181.41381773052584,17090,1
RRT_Path_Smoothing,C4A,0,0,100,100,"[100, 100, 99.12232346778897, 98.26980150825823, 98.26966146410359, 18.86173104890707, 18.86173104890707, 14.932191374646278, 14.932191374646278, 0.054970985894605695, 0.054966199123149706, 0]","[100, 100, 99.46188602217364, 98.93919461367534, 98.93910875092938, 95.2174418252656, 95.2174418252656, 93.62558788701656, 93.62558788701656, 0.9989632369400775, 0.9984882157311393, 0]",180.57873660959262,18328,1
RRT_Path_Smoothing,C4A,0,0,100,100,"[100, 99.36279556108653, 98.5196177295314, 97.67643989797628, 96.83326206642116, 96.83326206642116, 9.157298991350046, 9.157298991350046, 8.835416013108436, 8.835416013108436, 0.20583698322027924, 0.1600508521961996, 0]","[100, 99.5936998718118, 99.05606510324307, 98.5184303346742, 97.98079556610548, 97.98079556610548, 95.1289025994116, 95.1289025994116, 88.14131596732086, 88.14131596732086, 1.0122504962502994, 0.9871087704560578, 0]",187.08065747648246,18843,1
RRT_Path_Smoothing,C4A,0,0,100,100,"[100, 99.37022467642467, 98.42765220074457, 97.48507972506434, 96.54250724938424, 95.599934773704, 94.65736229802391, 94.65404074212891, 92.75827199175653, 92.75827196990511, 18.998233505362165, 18.998233505362165, 13.911153909369409, 13.911153909369409, 0.26194574736508014, 0.2595914623691153, 0]","[100, 99.7768383577532, 99.44283666899975, 99.10883498024629, 98.77483329149283, 98.44083160273937, 98.1068299139859, 98.10565291666545, 98.09272507365188, 98.09272506789681, 95.31716162425458, 95.31716162425458, 92.31951332383687, 92.31951332383687, 0.973157387127681, 0.9657185266241218, 0]",180.65260051258375,21530,1
RRT_Path_Smoothing,C4A,0,0,100,100,"[100, 99.80424826761622, 99.80424826761622, 13.021173441140087, 13.021173441140087, 12.853114751896836, 12.852386722617915, 0.9283795193523336, 0.7940005604434318, 0]","[100, 99.97572199992955, 99.97572199992955, 94.57971414696769, 94.57971414696769, 93.23607459180487, 93.23025395295018, 0.742548042972287, 0.6079170256009585, 0]",182.9513064131968,20134,1
RRT_Path_Smoothing,C4A,0,0,100,100,"[100, 99.66942104416223, 98.6938894348332, 97.71835782550416, 96.74282621617512, 95.76729460684608, 94.79176299751704, 93.816231388188, 92.84069977885896, 91.86516816952992, 91.86514239973936, 17.679408907806003, 17.67922161383644, 15.21996642602167, 15.219966426021134, 0.7166246158634538, 0.7141130874090355, 0]","[100, 99.92549617805916, 99.7056369521898, 99.48577772632059, 99.26591850045124, 99.04605927458202, 98.82620004871266, 98.60634082284345, 98.3864815969741, 98.16662237110474, 98.16661656327017, 94.90291722335117, 94.90278267964675, 94.4170376415745, 94.41703764157103, 0.7117197114077325, 0.7000303553354922, 0]",180.93640178871937,18772,1
